01-11 18:30:24.748 25729 24541 D HONFecService: input: groupId=4625, index=4, length=464
01-11 18:30:24.748 25729 21035 D HONFecService: output: groupId=3047, index=1, length=64
01-11 18:30:24.748 25729 24541 D HONFecService: input: groupId=4626, index=0, length=1390
01-11 18:30:24.753 25729  4598 D HONFecService: input: groupId=4626, index=1, length=1452
01-11 18:30:24.755 25729 21037 D HONFecService: output: groupId=3047, index=2, length=133
01-11 18:30:24.755 25729  4598 D HONFecService: input: groupId=4626, index=2, length=1452
01-11 18:30:24.756 25729  4598 D HONFecService: input: groupId=4626, index=3, length=1452
01-11 18:30:24.756 25729 24048 D HONFecService: output: groupId=3047, index=3, length=52
01-11 18:30:24.757 25729  4606 D HONFecService: input: groupId=4627, index=0, length=1452
01-11 18:30:24.757 25729 24416 D HONFecService: input: groupId=4626, index=4, length=1452
01-11 18:30:24.757 25729 21035 D HONFecService: input: groupId=4627, index=1, length=1452
01-11 18:30:24.758 25729 23496 D HONFecService: output: groupId=3047, index=4, length=52
01-11 18:30:24.761 25729 24049 D HONFecService: output: groupId=3048, index=0, length=60
01-11 18:30:24.762 25729 21039 D HONFecService: output: groupId=3048, index=1, length=60
01-11 18:30:24.763 25729 24575 D HONFecService: output: groupId=3048, index=2, length=52
01-11 18:30:24.763 25729  4674 D HONFecService: input: groupId=4627, index=2, length=1452
01-11 18:30:24.765 25729 24573 D HONFecService: output: groupId=3048, index=3, length=793
01-11 18:30:24.767 25729  4595 D HONFecService: output: groupId=3048, index=4, length=40
01-11 18:30:24.770 25729 24416 D HONFecService: input: groupId=4627, index=3, length=923
01-11 18:30:24.770 25729 24416 D HONFecService: input: groupId=4627, index=4, length=1452
01-11 18:30:24.772 25729  6200 D HONFecService: input: groupId=4628, index=0, length=1452
01-11 18:30:24.773 25729  4605 D HONFecService: output: groupId=3049, index=0, length=40
01-11 18:30:24.774 25729  6200 D HONFecService: input: groupId=4628, index=1, length=1452
01-11 18:30:24.775 25729  6200 D HONFecService: input: groupId=4628, index=2, length=551
01-11 18:30:24.776 25729  6200 D HONFecService: input: groupId=4628, index=3, length=447
01-11 18:30:24.776 25729 21035 D HONFecService: output: groupId=3049, index=1, length=52
01-11 18:30:24.777 25729 24415 D HONFecService: input: groupId=4628, index=4, length=1452
01-11 18:30:24.778 25729  4599 D HONFecService: input: groupId=4629, index=0, length=1452
01-11 18:30:24.778 25729 24416 D HONFecService: output: groupId=3049, index=2, length=40
01-11 18:30:24.779 25729  4599 D HONFecService: input: groupId=4629, index=1, length=1452
01-11 18:30:24.782 25729 24573 D HONFecService: input: groupId=4629, index=4, length=1452
01-11 18:30:24.782 25729 24415 D HONFecService: output: groupId=3049, index=3, length=40
01-11 18:30:24.782 25729 21034 D HONFecService: input: groupId=4630, index=0, length=1452
01-11 18:30:24.782 25729 21035 D HONFecService: input: groupId=4629, index=2, length=417
01-11 18:30:24.783 25729 21035 D HONFecService: input: groupId=4629, index=3, length=52
01-11 18:30:24.784 25729 24415 D HONFecService: input: groupId=4630, index=1, length=1452
01-11 18:30:24.786 25729 24541 D HONFecService: output: groupId=3049, index=4, length=40
01-11 18:30:24.788 25729 24415 D HONFecService: output: groupId=3050, index=0, length=319
01-11 18:30:24.788 25729  4598 D HONFecService: input: groupId=4630, index=2, length=1452
01-11 18:30:24.789 25729  4598 D HONFecService: input: groupId=4630, index=3, length=1452
01-11 18:30:24.789 25729 24575 D HONFecService: output: groupId=3050, index=1, length=40
01-11 18:30:24.790 25729 24576 D HONFecService: output: groupId=3050, index=2, length=40
01-11 18:30:24.791 25729  4674 D HONFecService: input: groupId=4630, index=4, length=1452
01-11 18:30:24.792 25729  4595 D HONFecService: input: groupId=4631, index=1, length=1452
01-11 18:30:24.793 25729 24049 D HONFecService: input: groupId=4631, index=0, length=617
01-11 18:30:24.796 25729 21038 D HONFecService: output: groupId=3050, index=3, length=52
01-11 18:30:24.797 25729 24575 D HONFecService: input: groupId=4631, index=2, length=1452
01-11 18:30:24.799 25729  4595 D HONFecService: output: groupId=3050, index=4, length=40
01-11 18:30:24.800 25729 21038 D HONFecService: input: groupId=4631, index=3, length=1452
01-11 18:30:24.801 25729 21038 D HONFecService: input: groupId=4631, index=4, length=1452
01-11 18:30:24.802 25729 24574 D HONFecService: input: groupId=4632, index=1, length=1452
01-11 18:30:24.803 25729 24541 D HONFecService: output: groupId=3051, index=0, length=40
01-11 18:30:24.804 25729 24048 D HONFecService: input: groupId=4632, index=2, length=1452
01-11 18:30:24.804 25729 24048 D HONFecService: input: groupId=4632, index=0, length=388
01-11 18:30:24.807 25729 24416 D HONFecService: output: groupId=3051, index=1, length=40
01-11 18:30:24.809 25729 24459 D HONFecService: input: groupId=4632, index=3, length=1452
01-11 18:30:24.810 25729 24459 D HONFecService: input: groupId=4632, index=4, length=1452
01-11 18:30:24.811 25729 24574 D HONFecService: input: groupId=4633, index=0, length=1452
01-11 18:30:24.812 25729 24049 D HONFecService: output: groupId=3051, index=2, length=40
01-11 18:30:24.813 25729 24574 D HONFecService: input: groupId=4633, index=1, length=1452
01-11 18:30:24.817 25729 24573 D HONFecService: input: groupId=4633, index=2, length=1452
01-11 18:30:24.817 25729 24575 D HONFecService: output: groupId=3051, index=3, length=40
01-11 18:30:24.817 25729 24573 D HONFecService: input: groupId=4633, index=3, length=1452
01-11 18:30:24.819 25729 21037 D HONFecService: output: groupId=3051, index=4, length=40
01-11 18:30:24.820 25729 24574 D HONFecService: input: groupId=4633, index=4, length=1452
01-11 18:30:24.820 25729  4598 D HONFecService: input: groupId=4634, index=0, length=1452
01-11 18:30:24.822 25729  4593 D HONFecService: output: groupId=3052, index=0, length=52
01-11 18:30:24.824 25729 24576 D HONFecService: input: groupId=4634, index=1, length=1452
01-11 18:30:24.824 25729 24459 D HONFecService: output: groupId=3052, index=1, length=40
01-11 18:30:24.826 25729 24576 D HONFecService: input: groupId=4634, index=2, length=1452
01-11 18:30:24.828 25729 24459 D HONFecService: output: groupId=3052, index=2, length=40
01-11 18:30:24.829 25729 21039 D HONFecService: output: groupId=3052, index=3, length=40
01-11 18:30:24.829 25729 24576 D HONFecService: input: groupId=4634, index=3, length=1452
01-11 18:30:24.830 25729 24576 D HONFecService: input: groupId=4634, index=4, length=1452
